,,,,best_score,最高分：%1$d,最高分：%1$d,Best Score: %1$d,Mejor: %1$d,Лучший результат: %1$d,Melhor: %1$d,Highscore: %1$d,최고 점수: %1$d,ベストスコア: %1$d,Meilleure note: %1$d,Miglior record: %1$d,أفضل درجة:%1$d,En iyi skor: %1$d,Nilai tertinggi:%1$d,,
,,,,speed_score,最高分：%1$.3f 块/秒,最高分：%1$.3f 塊/秒,Best Score: %1$.3f tiles/s,Mejor: %1$.3f teclas/s,Скорость: %1$.3f клв/с,Melhor: %1$.3f teclas/s,Highscore: %1$.3f Tasten/s,최고 점수 : %1$.3f타일 / 초,ベストスピード: %1$.3fタイル/秒,Le meilleur score: %1$.3f tuile/s,Miglior record: %1$.3f piastrelle/s,الأفضل:%1$.3fتايلز / ثانية,En iyi skor:%1$.3f tuş/s,Tertinggi:%1$.3f tuts/detik,,ok
,,开始按钮,,game_start,开始,開始,START,Comenzar,Играть,Começar,Starten,시작,スタート,Jouer,INIZIA,ابدء,Başla,Mulai,,
music/hall-游戏暂停页-Cocos_pauseddialog,,文案,,paused,游戏暂停,遊戲暫停,Game Paused,Pausado,Хотите выйти?,Pausado,Angehalten,일시 중지,一時停止,Pause,Gioco in Pausa,توقف موقتا للعبة,Durdur,Berhenti sementara,,
,,按钮,左按钮,btn_quit,终止,終止,Quit,Salir,Выход,Sair,Verlassen,종료,終了,Quitter,Esci,قم بإنهاء,Çık,Keluar,,
,,,右按钮,btn_resume,继续,繼續,Resume,Continuar,Отмена,Continuar,Weiter,계속,続き,Continuer,Continua,أكمل,Devam et,Lanjut,,
music结果页-Cocos_passfaildialog,无星,文案,歌曲名称,Text_songname,,升級啦！,,,,,,,,Le nom de la chanson,,!ترقية,0,Meningkat,,
,,,结果状态,Unfinished Melody,再接再厉,升級,Unfinished Melody,"Melodía incompleta
",Попробуйте еще раз,,"Unfertige Melodie
",미완성된 멜로디,もう少し頑張れば！,Mélodie non terminée,Melodia Incompleta,ادعو اصدقاءك لكسب قطع أكثر,Bitmeyen melodi,Tidak tamat,,
,1星,文案,歌曲名称,,,升級獎勵,,,,,Spiel angehalten,,,,,دعوة,,,,
,,,结果状态,Not Bad,不错,解鎖新歌曲,Not Bad,No está mal,Неплохо,,Nicht schlecht,나쁘지 않아요,いいね！,Assez bien,Non Male,جيد,Fena değil,Lumayan,,
,2星,文案,歌曲名称,,,領取獎勵,,,,,Fortfahren,,,,,قيم,,,,
,,,结果状态,Great!,很棒,新歌曲解鎖,Great!,¡Excelente!,Отлично!,,Großartig!,훌륭해요!,素晴らしい！,Bien!,Grande!,,Harika!,Bagus,,
,3星,文案,歌曲名称,,,返回歌曲列表,,,,,Unbeendete Melodie,,,,,إلعب,,,,
,,,结果状态,,完美,體力值,Perfect!,¡Perfecto!,Фантастика!,,Perfekt!,완벽해요!,パーフェクト！,Parfait!,Perfetto!,قاعة التحدي,,,,
hall结果页-Cocos_passfaildialog,界面文案,,,Music Hall,挑战大厅,體力恢復,Music Hall,Salón de música,Музыкальная арена,,Musikhalle,뮤직 홀,ミュージックホール,Salle de défi,Lega Musicale,قاعة الموسيقى,Müzik Salonu,Ruangan musik,,
,,,,BeatText,您打败了全球%1$d%的玩家,獲取5點體力,You Beat 18% Players Globally,Has vencido al 18% de los jugadores mundiales,Вы обошли 18% игроков!,,Du schlägst 18% der Spieler weltweit,전세계 18%의 유저를 이겼습니다,世界の%1$d%のプレイヤーに勝つ,Vous avez battu 18% des joueurs du monde,Hai Battuto il 18% dei Giocatori Globali,التحدي راش,Dünyadaki 18% Oyuncu Yendiniz,Mengalahkan %1$d%pemain sedunia,,
music-游戏结果页-Cocos_passfaildialog,,,,Best,最高分 %1$d,最高分 %1$d,Best %1$d,Mejor %1$d,Рекорд %1$d,Melhor %1$d,Highscore %1$d,최고 %1$d,ベスト %1$d,Le meilleur %1$d,Migliore %1$d,الأفضل %1$d,En iyi skor %1$d,Tertinggi:%1$d,,
music-游戏列表-CocosProject_homepage_musiclist_hall_setting,,,,more_song,更多歌曲敬请期待...,更多歌曲敬請期待...,More songs to be expected...,Más canciones llegando...,Новые композиции скоро появятся,Aguarde por mais músicas…,Neue Lieder bald verfügbar...,더 많은 노래들이 곧 나올 거예요.,より多くの曲を楽しんください！,Plus de morceaux à venir,Più musiche da aspettare,ستصدر مزيد من الأغاني قريبا,Daha fazla şarkı geliyor,Lebih banyak lagu harap ditunggu,,
level up-CocosProject_levelup_hallunlock,乐曲弹完后出现升级界面,文案,,,升级啦,升級啦,Level Up!,¡Subir de nivel!,Уровень пройден!,"Subir de nível
",Levelaufstieg!,레벨 업!,レベルアップ!,Augmentation de niveau!,Livello Successivo!,مستوى اعلى!,,,,
,升级弹窗,文案,,Level Upgrade,升级啦,升級啦,Level Up!,Nivel Subido,Уровень пройден,"Subida de nível
",Levelaufstieg!,레벨 업!,レベルアップ,Augmentation de niveau!,Livello Nuovo,مستوى اعلى,Seviyeniz yükseldi!,Level meningkat,,
,,,,Upgrade Rewards,升级奖励,升級獎勵,Upgrade Rewards,Premios,Награды,Prêmios,Aufstiegsbelohnungen,업그레이드 보상,レベルアップの奨励,Récompenses,Ricompensa di Aggiornamento,مكافأة الترقية,Yükselmenin Ödülü,Hadiah peningkatan level,,
,,,,Level_music_title,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,%1$d.%2$s,,
,,,,New music unlock,解锁新歌曲！,解鎖新歌曲！,New Music Unlocked,Nuevas Canciones,Новые песни,"Novas Canções
",Neue Lieder freischalten,새로운 곡 잠금 해제,新しい曲を解除,Nouveau morceau,Canzoni nuove,فتح موسيقى جديدة,Yeni müzik açıldı,Buka kunci lagu baru,,
,,按钮,,Receive Awards,领取奖励,領取獎勵,Receive Awards,Recibir premios,Получить,Receber Prêmios,Erhalte Belohnungen,보상 받기,奨励を受取る,Recevoir les récompenses,Ricevi ricompensa,إستلام,Ödülünü al,Menerima hadiah,,
,升级歌曲列表页,文案,,New music unlock list,新歌曲解锁！,新歌曲解鎖！,"New Music Unlocked
",Nuevas Canciones,Новые песни,"Novas Canções
",Lieder freigeschaltet,새로운 곡 잠금 해제,新しい曲を解除,Nouveau morceau,Canzoni nuove,فتح موسيقى جيديدة,Yeni müzik kilidini açıldı,Buka kunci lagu baru,,
,,按钮,,Back_music,返回,返回,Back,Atrás,Назад,Voltar,Zurück,뒤로,お戻り,Retour,Indietro,رجوع,Geri,Kembali,,
体力值购买小窗-CocosProject_shop_unlock_level_failpay_quitgame_share_remind_rate,界面文案,,,Energy Supply,体力值,體力值,Energy,Energía,Жизни,Vidas,Energievorrat,에너지 공급,体力,Énergie,Più Energie,الإمداد بالطاقة,Enerji,Nyawa,,
,生命值倒计时,文案,,Time to next life,剩余恢复时间：,剩餘恢復時間：,Time to next life:,Próxima:,Осталось:,Próxima vida:,Nächstes Leben in:,부활 소요 시간,回復まで：,Temps restant,Tempo recuperato:,الوقت المتبقي,Sonraki:,Berikutnya,,
,分享邀请好友,文案,,,增加5点体力,增加5點體力,Recover 5 energies,"5 energías más
",Восстановить 5 жизней,Recuperar 5 energias,Stelle 5 Energie wieder her,에너지 5개 회복,5 エネルギーを回復,Récupérer 5 énergies,Recupera 5 energie,بدء تشغيل,,,,
,分享邀请好友,按钮,,Invite friends,邀请好友,邀請好友,Invite friends,Invitar amigos,Пригласить друзей,Convidar amigos,Freunde einladen,친구 초대하기,友達を招待する,Inviter des amis,Invita Amici,دعوة أصدقائك,Arkadaşlarını davet et,Mengajak teman,,
金币购买购买小窗-CocosProject_shop_unlock_level_failpay_quitgame_share_remind_rate,界面文案,,,Get More Coins,金币,金幣,Coins,Monedas,Золото,Moedas,Münzen,동전,もっとコインを獲得,Plus de pièces,Monete,الحصول على العملات,Para,Koin,,
,购买失败小窗,标题,,Text_title_fail,提醒,提醒,Fail,Aviso,Ошибка,Falha,Tipp,실패,失敗してしまった,Notification,Fallito,تذكير,Bildirim,Gagal,,
,,文案,,Text_purchasefailed,购买失败,購買失敗,Purchase Failed,Compra fallida,Покупка не удалась,A compra falhou,Kauf fehlgeschlagen,구매 실패,購入が失敗した,Achat échoué,Acquisto Fallito,فشل بيع,Satın almanız başarısız,Gagal membeli,,
,,按钮,,Confirm_btn,知道了,知道了,OK,OK,ОК,OK,OK,OK,了解,OK,OK,حسنا,Tamam,Sip,,
,未连接网络（android）,文案,,no_gp,呜呜，连接不上购买服务...,嗚嗚，連接不上購買服務...,"Oops, we can't find the store service...","Ups, no podemos encontrar el sevicio de la tienda...","Ой, сервис магазина не доступен...","Oops, falhou em acessar o serviço de compra…",Wir können nicht speichern...,ㅠ ㅠ 네트워크 연결실패...,ストアが見つかりません...,"Oups, connexion impossible du service d'achat","Oops,non troviamo il servizio di ventida…",لا نستطيع أن نجد خدمة الشراء,"Offf, internet servis bulunamadı…",Tidak dapat menemukan pelayanan toko,,
,,国内版文案,,no_gp_cn1,活动期间每天打开首页信箱,,,,,,,,,Ouvrez la boîte aux lettres de l'accueil tous les jours pendant l'événement,Apri la casseta della posta ogni giorno durante l'attività,,,,,
,,,,no_gp_cn2,即可免费领取钻石哦~,,,,,,,,,Vous pouvez obtenir des diamants gratuits,puoi ricevere diamanti gratuiti,,,,,
,未连接网络(ios),文案,,no_appstore,呜呜，连接不到App Store服务...,嗚嗚，連接不到App Store服務...,"Oops, we can't find App Store service.",No podemos encontrar el servicio de App Store,App Store не найден,Falhou em acessar App Store.,"Ups, App Store ist nicht erreichbar.",App Store 서비스를 찾을 수 없습니다.,ストアが見つかりません,"DSL, le service App Store introuvable","Oops, non troviamo il servizio App Store",لا نستطيع أن نجد خدمة App Store,"Offf, App Mağazası bulunamadı.","Aduh,tidak dapat menemukan pelayanan App Store.",,
钻石小窗-CocosProject_shop_unlock_level_failpay_quitgame_share_remind_rate,标题,获取更多钻石,,Get More Diamonds,钻石,鑽石,Diamonds,Diamantes,Алмазы,Diamantes,Diamanten,다이아몬드,ダイヤモンド,Diamants,Diamanti,ألماس,Elmaslar,Diamond,,
,,取消按鈕,,More Diamonds Cancel,取消,取消,Cancel,Cancelar,Отмена,Cancelar,Abbrechen,취소,キャンセル,Annuler,Cancella,إلغاء,İptal et,Batal,,
,标题,,,text_revival0,继续游戏？,繼續遊戲？,Continue?,¿Continuar?,Продолжить?,Continuar?,Fortsetzen?,계속하기,続けますか？,Continuer?,Continui?,استمر?,Devam et?,Lanjut?,,
,,复活,,text_revival1,继续游戏,繼續遊戲,Continue,Continuar,Продолжить,Continuar,Weiter?,계속하기,継続,Continuer?,Continua,استمر,Devam et,Lanjut,,
,,免费复活,,text_revival2,免费复活,免費復活,Revive for free,Revivir gratis,Продолжить бесплатно,Reviver grátis,Weiterhin gratis,무료 부활,無料で継続,Revivre gratuitemt,Continua gratis,الإحياء مجانا,Ücretsiz kurtarma,Gratis dihidupkan,,
,,,,text_revival3,钻石复活,鑽石復活,Revive now,Revivir ya,Возродиться,Reviver agora,Wiederbeleben,부활하자,今すぐ復活,Revivre maintenant,Continua adesso,الإحياء فوريا,Şimdi kurtar,Dihidupkan,,
,,,,text_revival4,立即复活,立即復活,Revive now,Revivir ya,Возродиться,Reviver agora,Wiederbeleben,부활하자,今すぐ復活,Revivre maintenant,Continua adesso,الإحياء فوريا,Şimdi kurtar,Dihidupkan,,
,,无引导复活文案后,,text_done,原地复活,原地復活,Revive now,Revivir ya,Возродиться,Reviver agora,Wiederbeleben,부활하자,今すぐ復活,Revivre maintenant,Continua adesso,الإحياء فوريا,Şimdi kurtar,Hidup kembali sekarang,,
,,复活小窗底部无网提醒,,text_connectcard,连接网络，免费获取钻石！,連接網絡，免費獲取鑽石！,Get connected and win diamonds!,"Por internet, y gana diamantes.","Подключитесь к сети, получите алмазы!",Obter diamantes com Internet.,Verbinde mit WLAN für Diamanten.,인터넷 접속하여 다이아 받아요.,ネットと繋がってダイヤを獲得!,Connex. pr diamants gratuits ,"Con connessione, prendi diamanti.",اتصل بانترنت لكسب ألماس!,İnternete bağlan ve elmas kazanın!,Koneksi dengan internet untuk mendapat diamond gratis,,
,看视频按钮,,,text_video,免费,免費,Free,Gratis,Бесплатно,Grátis,Gratis,무료,無料,Gratuit,Gratis,مجانا,Bedava,Gratis,,
,游戏状态,状态文案,,text_only,还差,還差,Need,Faltan,Еще,Falta mais,Du brauchst noch,유사시,残る,Manque,Hai bisogno,بحاجة إلى,Eksik,Butuh,,
,,状态文案,,text_get,即可得到,即可得到,more for,más para,", чтобы получить",para,mehr für,more for,獲得できる,pour,per ricevere,أكثر ل,Daha fazla,lagi mendapat,,
,,状态文案,,text_beated,即可超越,即可超越,to beat,para superar a,", чтобы побить",para superar,um zu überholen,to beat,超える,pour battre,per superare,للتغلب,Yen,lagi melampaui,,
,,状态文案,,text_create,即可创造,即可創造,to create,para crear,", чтобы поставить",para criar,zu schaffen,to create,創造する,pour créer,a creare,لخلق,Oluştur,lagi menciptakan,,
,,状态文案,,text_win,即可赢得,即可赢得,to win,para ganar,", чтобы занять",para ganhar,zu gewinnen,to win,勝ち取る,pour gagner,a vincere,للفوز,Kazan,lagi merebut,,
,倒计时toast,文案,,text_video_toast,明天再来 ^ ^,明天再來 ^ ^,Come back later,Vuelve más tarde,Попробуйте завтра,Volte depois,Komme später wieder.,내일 또 오세요^^,明日で戻る,Revenir demain,Ritorneremo a dopo,العودة لاحقا,Daha sonra yeniden gel,besok main lagi,,
,观看视频按钮,,,video_button1,获取,獲取,Get it,Obtener,Получить,Obter,Gehen,받기,獲得,Obtenir,Guarda,كسب,Al,Dapat,,
,,,,video_button2,请稍候...,請稍後...,Loading...,Un momento,Подождите...,Um momento,Bitte warten,잠시 후,準備中,un moment,Aspettando,انتظر شوي,Yükleniyor,Loading,,
,,,,video_button3,准备中...,準備中...,Preparing,Preparando,Подготовка,Preparando,SpäterS...,준비 중...,準備中,Préparation,A dopo,في الاستعداد,Hazırlanıyor,Dalam proses menyiapkan,,
